CLEAN	repl	⁵⁵⁵	⁵⁵
CLEAN	repl	(?<!¹|²|³|⁵)[¹²³⁵][ ]	 
CLEAN	repl	(?<!¹|²|³|⁵)[¹²³⁵](?!¹|²|³|⁵)	
CLEAN	repl	-	
CLEAN	repl	õ	õ
CLEAN	repl	ĩ	ĩ
tri	repl	sʰʷ	①
tri	repl	ʈʰʷ	②
tri	repl	ʂʰʷ	③
tri	repl	tʰʷ	④
tri	repl	qʰʷ	⑤
tri	repl	nʲʷ	⑥
tri	repl	kʰʷ	⑦
tri	repl	lʲʷ	⑧
tri	repl	ɕʰʷ	⑨
tri	repl	tʲʷ	⑩
di	repl	ɕʰ	ⓐ
di	repl	n̥	ⓑ
di	repl	qʷ	ⓒ
di	repl	ɬʷ	ⓓ
di	repl	qʰ	ⓔ
di	repl	xʲ	ⓕ
di	repl	xʷ	ⓖ
di	repl	ɨ̃	ⓗ
di	repl	ʈʷ	ⓘ
di	repl	ʈʰ	ⓙ
di	repl	ŋʷ	ⓚ
di	repl	ʑʷ	ⓛ
di	repl	mʲ	ⓜ
di	repl	dʷ	ⓝ
di	repl	ĩ	ⓞ
di	repl	pʰ	ⓟ
di	repl	ɕʷ	ⓠ
di	repl	tʷ	ⓡ
di	repl	rʷ	ⓢ
di	repl	lʲ	ⓣ
di	repl	ɡʷ	ⓤ
di	repl	bʲ	ⓥ
di	repl	pʲ	ⓦ
di	repl	tʲ	ⓧ
di	repl	zʷ	ⓨ
di	repl	ɬʲ	ⓩ
di	repl	ʐʷ	Ⓐ
di	repl	dʲ	Ⓑ
di	repl	ɑ̃	Ⓒ
di	repl	lʷ	Ⓓ
di	repl	sʷ	Ⓔ
di	repl	ə̃	Ⓕ
di	repl	kʷ	Ⓖ
di	repl	æ̃	Ⓗ
di	repl	ɖʷ	Ⓘ
di	repl	m̥	Ⓙ
di	repl	kʰ	Ⓚ
di	repl	ʂʷ	Ⓛ
di	repl	õ	Ⓜ
di	repl	ʂʰ	Ⓝ
di	repl	sʰ	Ⓞ
di	repl	r̥	Ⓟ
di	repl	nʲ	Ⓠ
di	repl	tʰ	Ⓡ
di	repl	jʷ	Ⓢ
di	repl	õ	Ⓣ
di	repl	ĩ	Ⓤ
